INTRODUCTION_TYPE 9
ANIMATION Tortoise_Front
HEALTH 15000.0

DAMAGED_FROM 0

NB_WEAPONS 1
WEAPON_SLOT NAME Minigun WEAPON_NAME TortoiseBoss_Minigun NB_TURRETS 1 POSITION 0 25.0

NB_WEAKPOINT 1

WEAKPOINT_MASK Data/Sprites/Boss/Tortoise/Mask.png
WEAKPOINT_COLLIDER 0 TYPE 2 POSITION 0.0 0.0 SIZE 43.0 66.0 CENTERED 1
WEAKPOINT_MASK_COLOR 0 255 0 255

NB_PATTERNS 1
PATTERN_INFO 0 NB_WEAPONS 1 WAIT 0.0 DURATION 8.0
PATTERN_MOVEMENT 0 1 60.0 120.0 120.0
PATTERN_WEAPON 0 SLOT_NAME Minigun WAIT 1.0 DURATION 0.6 REPEAT 0

PHASE_ENDING_TYPE 0
