NAME Caretaker
ARMOR 200
SHIELD_AMOUNT 50
SHIELD_REGEN_SPEED 2000
SHIELD_COOLDOWN 1000
ANIMATIONS_IDLE HealerShip_Idle
ANIMATIONS_LEFT HealerShip_Left
ANIMATIONS_RIGHT HealerShip_Right
COLLIDER_COCKPIT TYPE 2 POSITION 0 -10 SIZE 6 11 CENTERED 1
COLLIDER_SPACESHIP TYPE 1 POSITION 0 0 RADIUS 16
WEAPON_SLOT_0 WEAPON_NAME Laser_Boost_1 NB_TURRETS 1 POSITION 0 -10
WEAPON_SLOT_1 WEAPON_NAME Laser_Heal_1 NB_TURRETS 1 POSITION 0 -10
WEAPON_SLOT_2 WEAPON_NAME Railgun_1 NB_TURRETS 5 POSITION 0 -3 POSITION -5 3 POSITION 5 3 POSITION -10 0 POSITION 10 0
SKILL_TYPE 1
