NAME Interceptor
ARMOR 200
SHIELD_AMOUNT 50
SHIELD_REGEN_SPEED 2000
SHIELD_COOLDOWN 1000
ANIMATIONS_IDLE DefaultShip_Idle
ANIMATIONS_LEFT DefaultShip_Left
ANIMATIONS_RIGHT DefaultShip_Right
COLLIDER_COCKPIT TYPE 2 POSITION 0 -7 SIZE 6 9 CENTERED 1
COLLIDER_SPACESHIP TYPE 1 POSITION 0 0 RADIUS 16
WEAPON_SLOT_0 WEAPON_NAME Energy_Spray_1 NB_TURRETS 1 POSITION 0 0 
WEAPON_SLOT_1 WEAPON_NAME Guided_Missile_1 NB_TURRETS 2 POSITION -10 0 POSITION 10 0
WEAPON_SLOT_2 WEAPON_NAME Autocannon_1 NB_TURRETS 2 POSITION -5 -3 POSITION 5 -3
SKILL_TYPE 2
