NAME Predator
ARMOR 200
SHIELD_AMOUNT 50
SHIELD_REGEN_SPEED 2000
SHIELD_COOLDOWN 1000
ANIMATIONS_IDLE PolyvalentShip_Idle
ANIMATIONS_LEFT PolyvalentShip_Left
ANIMATIONS_RIGHT PolyvalentShip_Right
COLLIDER_COCKPIT TYPE 1 POSITION 0 -3 RADIUS 5
COLLIDER_SPACESHIP TYPE 1 POSITION 0 0 RADIUS 16
WEAPON_SLOT_0 WEAPON_NAME Torpedoes_1 NB_TURRETS 2 POSITION -10 0 POSITION 10 0
WEAPON_SLOT_1 WEAPON_NAME Energy_Pulse_1 NB_TURRETS 2 POSITION -10 0 POSITION 10 0
WEAPON_SLOT_2 WEAPON_NAME Double_Railgun_1 NB_TURRETS 4 POSITION -5 -3 POSITION 5 -3 POSITION 10 0 POSITION -10 0
SKILL_TYPE 1
