NAME Protector
ARMOR 200
SHIELD_AMOUNT 50
SHIELD_REGEN_SPEED 2000
SHIELD_COOLDOWN 1000
ANIMATIONS_IDLE TankShip_Idle
ANIMATIONS_LEFT TankShip_Left
ANIMATIONS_RIGHT TankShip_Right
COLLIDER_COCKPIT TYPE 1 POSITION 0 3 RADIUS 4
COLLIDER_SPACESHIP TYPE 1 POSITION 0 0 RADIUS 16
WEAPON_SLOT_0 WEAPON_NAME Laser_Damage_1 NB_TURRETS 1 POSITION 0 0
WEAPON_SLOT_1 WEAPON_NAME DirectionalShield_1 NB_TURRETS 1 POSITION 0 0
WEAPON_SLOT_2 WEAPON_NAME Railgun_1 NB_TURRETS 4 POSITION -13 0 POSITION 13 0 POSITION -9 -5 POSITION 9 -5
SKILL_TYPE 1
